0;1632
0;481
0;292
0;1025
0;1544
0;1003
0;548
0;1070
0;399
0;435
0;960
0;57
0;239
0;476
0;1181
0;117
1;2560
1;1540
1;2713
1;1939
1;186
1;2492
1;2849
1;3157
1;3176
2;3840
2;2050
2;1539
2;1540
2;520
2;1931
2;908
2;3217
2;1939
2;407
2;3176
2;3355
2;2716
2;1695
2;800
2;2849
2;3748
2;3750
2;1194
2;1328
2;648
2;186
2;315
2;1085
2;1475
2;3142
2;1351
2;1356
2;1482
2;332
2;3153
2;2147
2;2901
2;1368
2;2398
2;3681
2;4065
2;3172
2;1725
2;4072
2;1387
2;4079
2;369
2;1907
2;3189
2;3062
2;737
2;1406
3;512
3;1
3;1026
3;1451
3;1540
3;518
3;513
3;1544
3;522
3;855
3;527
3;1368
3;1554
3;1555
3;1045
3;2073
3;538
3;1055
3;555
3;45
3;2608
3;1587
3;54
3;180
3;1025
3;71
3;78
3;3153
3;3157
3;4183
3;3161
3;1634
3;1636
3;1639
3;4202
3;3182
3;625
3;1147
3;3197
3;4226
3;135
3;648
3;876
3;2186
3;142
3;4206
3;1180
3;162
3;1191
3;1716
3;3253
3;885
3;516
3;2248
3;714
3;1739
3;3276
3;1238
3;218
3;996
3;945
3;741
3;1767
3;519
3;234
3;1491
3;1271
3;252
3;622
3;1294
3;787
3;1413
3;1830
3;2344
3;1067
3;819
3;2360
3;313
3;314
3;315
3;316
3;1342
3;319
3;325
3;1352
3;329
3;842
3;843
3;332
3;337
3;338
3;851
3;2389
3;343
3;856
3;345
3;347
3;350
3;1375
3;2402
3;1893
3;364
3;2355
3;2929
3;882
3;884
3;373
3;887
3;901
3;391
3;392
3;393
3;401
3;1939
3;1944
3;921
3;419
3;422
3;406
3;1446
3;937
3;426
3;939
3;940
3;430
3;433
3;1458
3;439
3;1977
3;954
3;958
3;960
3;964
3;1989
3;456
3;970
3;1487
3;979
3;4054
3;993
3;997
3;1515
3;1517
3;1009
3;500
3;1015
3;1450
4;2050
4;522
4;534
4;1562
4;1563
4;1058
4;555
4;45
4;1070
4;3126
4;1081
4;2570
4;2627
4;1608
4;3145
4;2122
4;2123
4;77
